/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode: 84 | Reward: 14.0 | Policy Loss: -6.507826328277588 | critic Loss: 1.7163320779800415 | Steps: 1037
Episode: 85 | Reward: 19.0 | Policy Loss: -6.397160530090332 | critic Loss: 0.8162213563919067 | Steps: 1056
Episode: 86 | Reward: 15.0 | Policy Loss: -6.338170051574707 | critic Loss: 1.0073051452636719 | Steps: 1071
Episode: 87 | Reward: 20.0 | Policy Loss: -6.443438529968262 | critic Loss: 1.4304955005645752 | Steps: 1091
Episode: 88 | Reward: 18.0 | Policy Loss: -6.396681785583496 | critic Loss: 0.4192100763320923 | Steps: 1109
Episode: 89 | Reward: 16.0 | Policy Loss: -6.318765640258789 | critic Loss: 0.8377360701560974 | Steps: 1125
Episode: 90 | Reward: 19.0 | Policy Loss: -6.435547351837158 | critic Loss: 1.2604551315307617 | Steps: 1144
Episode: 91 | Reward: 26.0 | Policy Loss: -6.296502590179443 | critic Loss: 0.9550495743751526 | Steps: 1170
Episode: 92 | Reward: 16.0 | Policy Loss: -6.359513282775879 | critic Loss: 1.1353529691696167 | Steps: 1186
Episode: 93 | Reward: 19.0 | Policy Loss: -6.382388591766357 | critic Loss: 0.9551587700843811 | Steps: 1205
Episode: 94 | Reward: 20.0 | Policy Loss: -6.279837131500244 | critic Loss: 0.812718391418457 | Steps: 1225
Episode: 95 | Reward: 24.0 | Policy Loss: -6.302297592163086 | critic Loss: 0.6399317979812622 | Steps: 1249
Episode: 96 | Reward: 56.0 | Policy Loss: -6.1688008308410645 | critic Loss: 0.8409503698348999 | Steps: 1305
Episode: 97 | Reward: 19.0 | Policy Loss: -6.196521759033203 | critic Loss: 1.0363165140151978 | Steps: 1324
Episode: 98 | Reward: 20.0 | Policy Loss: -6.161856174468994 | critic Loss: 0.8689202070236206 | Steps: 1344
